Trace_Name,FPGA_Ref,FPGA_Ball_Names,Connector_Ref,Connector_Pins
IL68_10.TB.G13.D5_P,U1F,U4,J4,318
IL68_10.TB.G13.D5_N,U1F,V6,J4,285
IL68_10.TB.G13.D4_P,U1F,V7,J4,286
IL68_10.TB.G13.D4_N,U1F,AB1,J4,289
IL68_10.TB.G13.D3_P,U1F,AC1,J4,288
IL68_10.TB.G13.D3_N,U1F,AE5,J4,295
IL68_10.TB.G13.D2_P,U1F,AE4,J4,296
IL68_10.TB.G13.D2_N,U1F,AD6,J4,299
IL68_10.TB.G13.D1_P,U1F,AE6,J4,298
IL68_10.TB.G13.D1_N,U1F,V1,J4,292
IL68_10.TB.G13.D0_P,U1F,W1,J4,293
IL68_10.TB.G13.D0_N,U1F,T1,J4,312
IL68_10.TB.G13.C_P,U1F,U1,J4,313
IL68_10.TB.G13.C_N,U1F,AD1,J4,283
IL68_10.TB.G8.D3_P,U1F,AE1,J4,282
IL68_10.TB.G8.D3_N,U1F,AG3,J4,303
IL68_10.TB.G8.D2_P,U1F,AH3,J4,302
IL68_10.TB.G8.D2_N,U1F,AL1,J4,308
IL68_10.TB.G8.D1_P,U1F,AM2,J4,309
IL68_10.TB.G8.D1_N,U1F,AJ1,J4,316
IL68_10.TB.G8.D0_P,U1F,AK1,J4,315
IL68_10.TB.G8.D0_N,U1F,AG1,J4,306
IL68_10.LR.G3.S_P,U1F,AH1,J4,305
IL68_10.LR.G3.S_N,U1F,AC3,J4,278
IL68_10.LR.G3.D4_P,U1F,AB2,J4,279
IL68_10.LR.G3.D4_N,U1F,AC2,J4,276
IL68_10.LR.G3.D3_P,U1F,AE2,J4,275
IL68_10.LR.G3.D3_N,U1F,AD3,J4,273
IL68_10.LR.G3.D2_P,U1F,AE3,J4,272
IL68_10.LR.G3.D2_N,U1F,W2,J4,265
IL68_10.LR.G3.D1_P,U1F,Y1,J4,266
IL68_10.LR.G3.D1_N,U1F,AC5,J4,268
IL68_10.LR.G3.D0_P,U1F,AD4,J4,269
IL68_10.LR.G3.D0_N,U1F,AB3,J4,263
IL68_10.LR.G2.S_P,U1F,AB4,J4,262
IL68_10.LR.G2.S_N,U1F,AB5,J4,259
IL68_10.LR.G2.D4_P,U1F,AB6,J4,258
IL68_10.LR.G2.D4_N,U1F,AC7,J4,242
IL68_10.LR.G2.D3_P,U1F,AD7,J4,243
IL68_10.LR.G2.D3_N,U1F,AB7,J4,253
IL68_10.LR.G2.D2_P,U1F,AC6,J4,252
IL68_10.LR.G2.D2_N,U1F,Y4,J4,246
IL68_10.LR.G2.D1_P,U1F,W4,J4,245
IL68_10.LR.G2.D1_N,U1F,Y5,J4,255
IL68_10.LR.G2.D0_P,U1F,W5,J4,256
IL68_10.LR.G2.D0_N,U1F,Y7,J4,249
IL68_10.LR.G1.S_P,U1F,Y6,J4,248
IL68_10.LR.G1.S_N,U1F,R1,J4,238
IL68_10.LR.G1.D4_P,U1F,T2,J4,239
IL68_10.LR.G1.D4_N,U1F,W3,J4,228
IL68_10.LR.G1.D3_P,U1F,Y3,J4,229
IL68_10.LR.G1.D3_N,U1F,U2,J4,232
IL68_10.LR.G1.D2_P,U1F,U3,J4,233
IL68_10.LR.G1.D2_N,U1F,N1,J4,226
IL68_10.LR.G1.D1_P,U1F,P1,J4,225
IL68_10.LR.G1.D1_N,U1F,R3,J4,222
IL68_10.LR.G1.D0_P,U1F,T3,J4,223
IL68_10.LR.G1.D0_N,U1F,P2,J4,236
IL68_10.LR.G0.S_P,U1F,P3,J4,235
IL68_10.LR.G0.S_N,U1F,R4,J4,219
IL68_10.LR.G0.D4_P,U1F,T5,J4,218
IL68_10.LR.G0.D4_N,U1F,T4,J4,212
IL68_10.LR.G0.D3_P,U1F,U5,J4,213
IL68_10.LR.G0.D3_N,U1F,U6,J4,208
IL68_10.LR.G0.D2_P,U1F,U7,J4,209
IL68_10.LR.G0.D2_N,U1F,R6,J4,202
IL68_10.LR.G0.D1_P,U1F,T6,J4,203
IL68_10.LR.G0.D1_N,U1F,R7,J4,205
IL68_10.LR.G0.D0_P,U1F,T7,J4,206
IL68_10.LR.G0.D0_N,U1F,P5,J4,216
