Trace_Name,FPGA_Ref,FPGA_Ball_Names,Connector_Ref,Connector_Pins
IL68_30.TB.G13.D5_P,U1N,U4,J3,118
IL68_30.TB.G13.D5_N,U1N,V6,J3,112
IL68_30.TB.G13.D4_P,U1N,V7,J3,113
IL68_30.TB.G13.D4_N,U1N,AB1,J3,89
IL68_30.TB.G13.D3_P,U1N,AC1,J3,88
IL68_30.TB.G13.D3_N,U1N,AE5,J3,95
IL68_30.TB.G13.D2_P,U1N,AE4,J3,96
IL68_30.TB.G13.D2_N,U1N,AD6,J3,99
IL68_30.TB.G13.D1_P,U1N,AE6,J3,98
IL68_30.TB.G13.D1_N,U1N,V1,J3,85
IL68_30.TB.G13.D0_P,U1N,W1,J3,86
IL68_30.TB.G13.D0_N,U1N,T1,J3,93
IL68_30.TB.G13.C_P,U1N,U1,J3,92
IL68_30.TB.G13.C_N,U1N,AD1,J3,82
IL68_30.TB.G8.D3_P,U1N,AE1,J3,83
IL68_30.TB.G8.D3_N,U1N,AG3,J3,115
IL68_30.TB.G8.D2_P,U1N,AH3,J3,116
IL68_30.TB.G8.D2_N,U1N,AL1,J3,103
IL68_30.TB.G8.D1_P,U1N,AM2,J3,102
IL68_30.TB.G8.D1_N,U1N,AJ1,J3,106
IL68_30.TB.G8.D0_P,U1N,AK1,J3,105
IL68_30.TB.G8.D0_N,U1N,AG1,J3,109
IL68_30.LR.G3.S_P,U1N,AH1,J3,108
IL68_30.LR.G3.S_N,U1N,AC3,J3,78
IL68_30.LR.G3.D4_P,U1N,AB2,J3,79
IL68_30.LR.G3.D4_N,U1N,AC2,J3,56
IL68_30.LR.G3.D3_P,U1N,AE2,J3,55
IL68_30.LR.G3.D3_N,U1N,AD3,J3,66
IL68_30.LR.G3.D2_P,U1N,AE3,J3,65
IL68_30.LR.G3.D2_N,U1N,W2,J3,58
IL68_30.LR.G3.D1_P,U1N,Y1,J3,59
IL68_30.LR.G3.D1_N,U1N,AC5,J3,52
IL68_30.LR.G3.D0_P,U1N,AD4,J3,53
IL68_30.LR.G3.D0_N,U1N,AB3,J3,63
IL68_30.LR.G2.S_P,U1N,AB4,J3,62
IL68_30.LR.G2.S_N,U1N,AB5,J3,48
IL68_30.LR.G2.D4_P,U1N,AB6,J3,49
IL68_30.LR.G2.D4_N,U1N,AC7,J3,35
IL68_30.LR.G2.D3_P,U1N,AD7,J3,36
IL68_30.LR.G2.D3_N,U1N,AB7,J3,38
IL68_30.LR.G2.D2_P,U1N,AC6,J3,39
IL68_30.LR.G2.D2_N,U1N,Y4,J3,42
IL68_30.LR.G2.D1_P,U1N,W4,J3,43
IL68_30.LR.G2.D1_N,U1N,Y5,J3,46
IL68_30.LR.G2.D0_P,U1N,W5,J3,45
IL68_30.LR.G2.D0_N,U1N,Y7,J3,32
IL68_30.LR.G1.S_P,U1N,Y6,J3,33
IL68_30.LR.G1.S_N,U1N,R1,J3,28
IL68_30.LR.G1.D4_P,U1N,T2,J3,29
IL68_30.LR.G1.D4_N,U1N,W3,J3,23
IL68_30.LR.G1.D3_P,U1N,Y3,J3,22
IL68_30.LR.G1.D3_N,U1N,U2,J3,13
IL68_30.LR.G1.D2_P,U1N,U3,J3,12
IL68_30.LR.G1.D2_N,U1N,N1,J3,18
IL68_30.LR.G1.D1_P,U1N,P1,J3,19
IL68_30.LR.G1.D1_N,U1N,R3,J3,15
IL68_30.LR.G1.D0_P,U1N,T3,J3,16
IL68_30.LR.G1.D0_N,U1N,P2,J3,25
IL68_30.LR.G0.S_P,U1N,P3,J3,26
IL68_30.LR.G0.S_N,U1N,R4,J3,8
IL68_30.LR.G0.D4_P,U1N,T5,J3,9
IL68_30.LR.G0.D4_N,U1N,T4,J3,72
IL68_30.LR.G0.D3_P,U1N,U5,J3,73
IL68_30.LR.G0.D3_N,U1N,U6,J3,69
IL68_30.LR.G0.D2_P,U1N,U7,J3,68
IL68_30.LR.G0.D2_N,U1N,R6,J3,75
IL68_30.LR.G0.D1_P,U1N,T6,J3,76
IL68_30.LR.G0.D1_N,U1N,R7,J3,5
IL68_30.LR.G0.D0_P,U1N,T7,J3,6
IL68_30.LR.G0.D0_N,U1N,P5,J3,3
