Trace_Name,FPGA_Ref,FPGA_Ball_Names,Connector_Ref,Connector_Pins
IL68_00.LR.VTT,C37F,2,C37B,2
IL68_00.TB.G13.D6,U1B,U4,J4,15
IL68_00.TB.G13.D5_P,U1B,V6,J4,22
IL68_00.TB.G13.D5_N,U1B,V7,J4,23
IL68_00.TB.G13.D4_P,U1B,AB1,J4,39
IL68_00.TB.G13.D4_N,U1B,AC1,J4,38
IL68_00.TB.G13.D3_P,U1B,AE5,J4,5
IL68_00.TB.G13.D3_N,U1B,AE4,J4,6
IL68_00.TB.G13.D2_P,U1B,AD6,J4,12
IL68_00.TB.G13.D2_N,U1B,AE6,J4,13
IL68_00.TB.G13.D1_P,U1B,V1,J4,8
IL68_00.TB.G13.D1_N,U1B,W1,J4,9
IL68_00.TB.G13.D0_P,U1B,T1,J4,19
IL68_00.TB.G13.D0_N,U1B,U1,J4,18
IL68_00.TB.G13.C_P,U1B,AD1,J4,2
IL68_00.TB.G13.C_N,U1B,AE1,J4,3
IL68_00.TB.G8.D3_P,U1B,AG3,J4,28
IL68_00.TB.G8.D3_N,U1B,AH3,J4,29
IL68_00.TB.G8.D2_P,U1B,AL1,J4,26
IL68_00.TB.G8.D2_N,U1B,AM2,J4,25
IL68_00.TB.G8.D1_P,U1B,AJ1,J4,36
IL68_00.TB.G8.D1_N,U1B,AK1,J4,35
IL68_00.TB.G8.D0_P,U1B,AG1,J4,32
IL68_00.TB.G8.D0_N,U1B,AH1,J4,33
IL68_00.LR.G3.S_P,U1B,AC3,J4,118
IL68_00.LR.G3.S_N,U1B,AB2,J4,119
IL68_00.LR.G3.D4_P,U1B,AC2,J4,109
IL68_00.LR.G3.D4_N,U1B,AE2,J4,108
IL68_00.LR.G3.D3_P,U1B,AD3,J4,113
IL68_00.LR.G3.D3_N,U1B,AE3,J4,112
IL68_00.LR.G3.D2_P,U1B,W2,J4,106
IL68_00.LR.G3.D2_N,U1B,Y1,J4,105
IL68_00.LR.G3.D1_P,U1B,AC5,J4,115
IL68_00.LR.G3.D1_N,U1B,AD4,J4,116
IL68_00.LR.G3.D0_P,U1B,AB3,J4,103
IL68_00.LR.G3.D0_N,U1B,AB4,J4,102
IL68_00.LR.G2.S_P,U1B,AB5,J4,98
IL68_00.LR.G2.S_N,U1B,AB6,J4,99
IL68_00.LR.G2.D4_P,U1B,AC7,J4,85
IL68_00.LR.G2.D4_N,U1B,AD7,J4,86
IL68_00.LR.G2.D3_P,U1B,AB7,J4,96
IL68_00.LR.G2.D3_N,U1B,AC6,J4,95
IL68_00.LR.G2.D2_P,U1B,Y4,J4,82
IL68_00.LR.G2.D2_N,U1B,W4,J4,83
IL68_00.LR.G2.D1_P,U1B,Y5,J4,89
IL68_00.LR.G2.D1_N,U1B,W5,J4,88
IL68_00.LR.G2.D0_P,U1B,Y7,J4,92
IL68_00.LR.G2.D0_N,U1B,Y6,J4,93
IL68_00.LR.G1.S_P,U1B,R1,J4,78
IL68_00.LR.G1.S_N,U1B,T2,J4,79
IL68_00.LR.G1.D4_P,U1B,W3,J4,76
IL68_00.LR.G1.D4_N,U1B,Y3,J4,75
IL68_00.LR.G1.D3_P,U1B,U2,J4,69
IL68_00.LR.G1.D3_N,U1B,U3,J4,68
IL68_00.LR.G1.D2_P,U1B,N1,J4,66
IL68_00.LR.G1.D2_N,U1B,P1,J4,65
IL68_00.LR.G1.D1_P,U1B,R3,J4,73
IL68_00.LR.G1.D1_N,U1B,T3,J4,72
IL68_00.LR.G1.D0_P,U1B,P2,J4,63
IL68_00.LR.G1.D0_N,U1B,P3,J4,62
IL68_00.LR.G0.S_P,U1B,R4,J4,53
IL68_00.LR.G0.S_N,U1B,T5,J4,52
IL68_00.LR.G0.D4_P,U1B,T4,J4,55
IL68_00.LR.G0.D4_N,U1B,U5,J4,56
IL68_00.LR.G0.D3_P,U1B,U6,J4,59
IL68_00.LR.G0.D3_N,U1B,U7,J4,58
IL68_00.LR.G0.D2_P,U1B,R6,J4,43
IL68_00.LR.G0.D2_N,U1B,T6,J4,42
IL68_00.LR.G0.D1_P,U1B,R7,J4,45
IL68_00.LR.G0.D1_N,U1B,T7,J4,46
IL68_00.LR.G0.D0_P,U1B,P5,J4,49
IL68_00.LR.G0.D0_N,U1B,P4,J4,48
